,시군구,소멸지수,병상 비율,병원,보건지소,약국,요양병원,인구 수,종합병원,고등학교,보육시설 비율,유치원,중학교,초등학교,전규모W,1인당 자동차 등록대수,소규모C,중규모C,대규모C,소규모W,중규모W,대규모W
41,강원특별자치도 춘천시,0.58,14,3,10,135,8,286664,2,23.18,19,17.06,25.29,19.87,83609,0.5227,4129,194,12,21222,13267,7405
42,강원특별자치도 원주시,0.66,14.8,18,9,188,6,360807,1,25.34,16.9,15.86,26.03,19.57,120606,0.5451,2092,77,2,10194,4716,1789
43,강원특별자치도 강릉시,0.39,11.8,1,7,92,2,211381,3,22.42,17.5,14.94,24.91,17.83,64192,0.5662,949,28,1,4735,1639,576
44,강원특별자치도 동해시,0.35,14.6,2,1,40,3,89426,1,20.62,21.4,14.09,25.03,19.67,24436,0.5557,2815,106,3,13378,6501,2614
45,강원특별자치도 태백시,0.24,10.7,1,1,18,0,39428,1,16.46,20.8,8.35,22.27,13.5,12699,0.5371,2386,75,0,12435,4166,0
46,강원특별자치도 속초시,0.42,10.2,0,0,41,2,82806,2,23.96,18.6,16,27.13,19.47,21044,0.5149,4977,194,6,24120,11940,3351
47,강원특별자치도 삼척시,0.29,6.5,1,8,26,1,63455,1,19.31,20.9,14.78,18.68,14.41,19027,0.5525,1217,38,0,5157,1893,0
48,강원특별자치도 홍천군,0.23,10.2,2,8,27,2,67977,1,20.01,21.2,9.9,18.15,11.47,17147,0.6238,390,15,0,1901,1011,0
49,강원특별자치도 횡성군,0.17,4.3,1,8,18,1,46532,0,17.3,19.8,10.33,15.11,11.58,14151,0.6436,3481,121,3,15515,7659,1776
50,강원특별자치도 영월군,0.18,8.4,1,7,17,1,37728,1,15.92,16.1,10.17,13.64,10.59,10933,0.6022,3714,215,3,20046,14297,2559
51,강원특별자치도 평창군,0.18,3.9,0,6,20,2,40990,0,16.98,16.6,9.15,16.41,9.44,11896,0.687,1391,45,0,6454,2723,0
52,강원특별자치도 정선군,0.18,5.6,2,7,14,0,34931,0,15.33,17.4,8.38,15.24,9.1,12473,0.6282,544,1,0,2175,34,0
53,강원특별자치도 철원군,0.32,7.2,1,4,21,1,42256,0,17.04,13.9,11.86,20.98,12.88,8731,0.6005,1621,47,1,6953,2883,2737
54,강원특별자치도 화천군,0.34,1.8,0,4,8,0,23388,0,14.83,22.1,8.27,16.88,10.52,3311,0.5874,1395,52,1,6398,2538,400
55,강원특별자치도 양구군,0.36,7.4,3,4,8,0,21383,0,18.89,14.4,12.92,13.78,11.77,3414,0.6046,1322,43,0,6078,2322,0
56,강원특별자치도 인제군,0.37,3.9,1,5,14,1,32206,0,18.65,15.5,10.6,17.86,11.99,6434,0.6376,719,21,1,3479,1116,2079
57,강원특별자치도 고성군,0.22,0,0,3,10,0,27274,0,12.65,13.3,12.18,15.6,10.63,9029,0.6089,6247,228,3,33209,14053,3183
58,강원특별자치도 양양군,0.19,0,0,5,12,0,27866,0,21.42,12.1,7.47,16.73,9.27,9781,0.6282,16108,808,35,79802,59280,25633
59,충청북도 충주시,0.4,13.6,3,13,89,7,208277,2,22.62,16.6,15.53,22.93,18.59,75763,0.6045,1180,32,0,5043,1946,0
60,충청북도 제천시,0.34,16,1,8,54,5,130988,2,21.72,15.8,13.4,22.13,18.12,39720,0.5632,1980,65,0,9614,3568,0
61,충청북도 청주시,0.79,12.4,25,13,385,12,849573,6,24.55,17.5,14.95,25.55,21.55,286948,0.5576,899,41,1,4409,2195,1818
62,충청북도 보은군,0.14,24.3,1,8,16,3,31455,0,17.97,13.1,9.17,15.03,9.03,10007,0.6414,5617,338,12,29371,27113,13020
63,충청북도 옥천군,0.19,16.9,0,8,19,3,49520,1,20.57,17.2,10.5,18.44,12.81,15751,0.6072,777,29,0,3550,1713,0
