,시군구,소멸지수,1인당 자동차 등록대수,고등학교,대규모C,대규모W,병상 비율,병원,보건지소,보육시설 비율,소규모C,소규모W,약국,요양병원,유치원,전규모W,종합병원,중규모C,중규모W,중학교,초등학교
42,강원특별자치도 원주시,0.66,0.544053576,25.34,11,18225,14.8,18,9,16.9,13145,65708,188,6,15.86,120606,1,543,36673,26.03,19.57
43,강원특별자치도 강릉시,0.39,0.571488596,22.42,2,2480,11.8,1,7,17.5,8708,43725,92,2,14.94,64192,3,274,17987,24.91,17.83
44,강원특별자치도 동해시,0.35,0.560755994,20.62,1,750,14.6,2,1,21.4,3101,15430,40,3,14.09,24436,1,108,8301,25.03,19.67
45,강원특별자치도 태백시,0.24,0.547181024,16.46,1,1874,10.7,1,1,20.8,1694,7494,18,0,8.35,12699,1,54,3331,22.27,13.5
46,강원특별자치도 속초시,0.42,0.519596851,23.96,0,0,10.2,0,0,18.6,3422,15435,41,2,16,21044,2,83,5609,27.13,19.47
47,강원특별자치도 삼척시,0.29,0.559623949,19.31,1,635,6.5,1,8,20.9,2507,11870,26,1,14.78,19027,1,97,6522,18.68,14.41
48,강원특별자치도 홍천군,0.23,0.630034616,20.01,1,1145,10.2,2,8,21.2,2265,10715,27,2,9.9,17147,1,88,5287,18.15,11.47
49,강원특별자치도 횡성군,0.17,0.646023426,17.3,0,0,4.3,1,8,19.8,1538,7685,18,1,10.33,14151,0,71,6466,15.11,11.58
50,강원특별자치도 영월군,0.18,0.608566377,15.92,0,0,8.4,1,7,16.1,1468,7252,17,1,10.17,10933,1,57,3681,13.64,10.59
51,강원특별자치도 평창군,0.18,0.692638776,16.98,1,626,3.9,0,6,16.6,1728,7833,20,2,9.15,11896,0,50,3437,16.41,9.44
52,강원특별자치도 정선군,0.18,0.641570668,15.33,2,778,5.6,2,7,17.4,1184,5262,14,0,8.38,12473,0,43,3537,15.24,9.1
53,강원특별자치도 철원군,0.32,0.612212893,17.04,0,0,7.2,1,4,13.9,1273,6166,21,1,11.86,8731,0,37,2565,20.98,12.88
54,강원특별자치도 화천군,0.34,0.59707915,14.83,0,0,1.8,0,4,22.1,686,3147,8,0,8.27,3311,0,4,164,16.88,10.52
55,강원특별자치도 양구군,0.36,0.614029255,18.89,0,0,7.4,3,4,14.4,653,2920,8,0,12.92,3414,0,11,494,13.78,11.77
56,강원특별자치도 인제군,0.37,0.641255465,18.65,0,0,3.9,1,5,15.5,1036,5404,14,1,10.6,6434,0,21,1030,17.86,11.99
57,강원특별자치도 고성군,0.22,0.608203626,12.65,1,1804,0,0,3,13.3,1084,5108,10,0,12.18,9029,0,36,2117,15.6,10.63
58,강원특별자치도 양양군,0.19,0.6317214,21.42,1,652,0,0,5,12.1,1471,6372,12,0,7.47,9781,0,40,2757,16.73,9.27
59,충청북도 충주시,0.4,0.605906304,22.62,6,4674,13.6,3,13,16.6,8300,40750,89,7,15.53,75763,2,408,30339,22.93,18.59
60,충청북도 제천시,0.34,0.566639016,21.72,1,846,16,1,8,15.8,5202,24890,54,5,13.4,39720,2,194,13984,22.13,18.12
61,충청북도 청주시,0.79,0.555937709,24.55,37,42764,12.4,25,13,17.5,2852,144329,385,12,14.95,286948,6,1288,99855,25.55,21.55
62,충청북도 보은군,0.14,0.650564334,17.97,3,2255,24.3,1,8,13.1,1014,4924,16,3,9.17,10007,0,53,2828,15.03,9.03
63,충청북도 옥천군,0.19,0.615041623,20.57,0,0,16.9,0,8,17.2,1918,10398,19,3,10.5,15751,1,83,5353,18.44,12.81
64,충청북도 영동군,0.17,0.608032583,17.35,0,0,16.4,1,10,17.8,1360,6466,24,2,10.22,10361,0,55,3895,17.52,11.69
65,충청북도 진천군,0.53,0.657036195,21.4,5,4627,10.3,1,6,15.2,3136,18653,37,1,14.4,48307,1,282,25027,22.47,19.47
