,시군구,소멸지수,1인당 자동차 등록대수,고등학교,대규모C,대규모W,병상 비율,병원,보건지소,보육시설 비율,소규모C,소규모W,약국,요양병원,유치원,인구 수,전규모W,종합병원,중규모C,중규모W,중학교,초등학교
45,강원특별자치도 태백시,0.23531 ,-0.263635675,-1.035683379,-0.730791213,-0.676403618,-0.57136135,-0.58552821,-1.260271059,0.9939136972347694,-0.551558458,-0.523251598,-0.727626657,-0.90468554,-1.117683377,-0.712405694,-0.687929022,-0.15140874,-0.634255182,-0.666693801,0.443598572,-0.477686768
46,강원특별자치도 속초시,0.41614 ,-0.330894472,1.1933278020872935,-0.252401784,-0.361112137,-0.617452561,-0.727765316,-1.466935226,0.3643121218445764,-0.104324541,-0.121464921,-0.430989822,-0.588239739,0.7122976979421135,-0.447671139,-0.53705675,0.4655818770366874,-0.169267361,-0.22529754,1.5339855539366491,0.7434921905485367
47,강원특별자치도 삼척시,0.28778 ,-0.216978671,-0.18865913,-0.730791213,-0.676403618,-0.958527519,-0.58552821,0.18637811431159595,1.0225319506615957,-0.753340183,-0.773504352,-0.624448628,-0.746462639,0.42045757882894236,-0.565769677,-0.573522823,-0.15140874,-0.778831227,-0.795751391,-0.361851894,-0.291543911
48,강원특별자치도 홍천군,0.22859 ,-0.000962805,0.019381913177160624,-0.730791213,-0.676403618,-0.617452561,-0.443291104,0.18637811431159595,1.1083867109420769,-0.896089102,-0.885461342,-0.611551374,-0.588239739,-0.746902898,-0.538172055,-0.607512022,-0.15140874,-0.868702823,-0.845830051,-0.480762409,-0.892928524
49,강원특별자치도 횡성군,0.17471 ,0.059024771,-0.786034127,-0.491596498,-0.509301956,-1.161328845,-0.58552821,0.18637811431159595,0.7077311629664997,-0.362549914,-0.417346338,-0.727626657,-0.746462639,-0.644041216,-0.669050208,-0.661677789,-0.768399358,-0.454511991,-0.46836641,-1.162815171,-0.870427739
50,강원특별자치도 영월군,0.18371 ,-0.066403797,-1.196172184,-0.491596498,-0.435630446,-0.783380918,-0.58552821,-0.020286053,-0.351144214,-0.322331657,-0.261548697,-0.740523911,-0.746462639,-0.68231533,-0.72278074,-0.719857175,-0.15140874,-0.087210687,-0.091470554,-1.49262358,-1.072934802
51,강원특별자치도 평창군,0.18006 ,0.19051268971591942,-0.881138604,-0.730791213,-0.676403618,-1.198201813,-0.727765316,-0.226950221,-0.208052947,-0.723305948,-0.728907235,-0.70183215,-0.588239739,-0.926312807,-0.702872858,-0.702446749,-0.768399358,-0.751479003,-0.748625215,-0.871147872,-1.30817028
52,강원특별자치도 정선군,0.17973 ,0.012367767540534622,-1.371521064,-0.730791213,-0.676403618,-1.041491698,-0.443291104,-0.020286053,0.020893080722651995,-0.869507078,-0.8760399,-0.779215672,-0.90468554,-1.11050698,-0.739850742,-0.692014958,-0.768399358,-0.923407273,-0.901302671,-1.133648441,-1.377718161
53,강원특별자치도 철원군,0.32246 ,-0.071554245,-0.863306515,-0.651059641,-0.418882644,-0.893999824,-0.58552821,-0.640278556,-0.980745789,-0.683605523,-0.711749207,-0.688934896,-0.746462639,-0.278045001,-0.6951465,-0.759667929,-0.768399358,-0.743664081,-0.73954065,0.1541748666586909,-0.604509373
54,강원특별자치도 화천군,0.33670 ,-0.111242995,-1.520121809,-0.651059641,-0.638768108,-1.391784898,-0.727765316,-0.640278556,1.3659509917835202,-0.722615506,-0.730832785,-0.856599195,-0.90468554,-1.136820434,-0.810297304,-0.857658068,-0.768399358,-0.724126778,-0.759129242,-0.765698925,-1.087253484
55,강원특별자치도 양구군,0.36036 ,-0.059132575,-0.313483757,-0.730791213,-0.676403618,-0.87556334,-0.301053997,-0.640278556,-0.837654522,-0.735216076,-0.741835929,-0.856599195,-0.90468554,-0.024478996,-0.822533755,-0.855795894,-0.768399358,-0.759293924,-0.771393403,-1.461213255,-0.831562747
56,강원특별자치도 인제군,0.37472 ,0.040846718,-0.384812114,-0.651059641,-0.480793057,-1.198201813,-0.58552821,-0.433614388,-0.522853734,-0.839300233,-0.831202088,-0.779215672,-0.746462639,-0.579453649,-0.75648133,-0.801196222,-0.768399358,-0.845258059,-0.839868306,-0.545826653,-0.786561177
59,충청북도 충주시,0.40332 ,-0.059435543,0.7950778043304383,-0.730791213,-0.676403618,-0.304032329,-0.301053997,1.2196989521616013,-0.208052947,-0.759726773,-0.777424222,0.1880783563254161,0.2028747615656329,0.5998674881198262,0.3180743846416907,0.4522278316449624,0.4655818770366874,-0.802275992,-0.792742129,0.5916758162834093,0.5634859119604767
60,충청북도 제천시,0.34494 ,-0.184561143,0.5275964625534453,-0.730791213,-0.676403618,-0.082794518,-0.58552821,0.18637811431159595,-0.436998974,-0.621638339,-0.620251188,-0.263325524,-0.113571039,0.090343346,-0.153617925,-0.199406595,0.4655818770366874,-0.673329789,-0.70064736,0.4121882472066015,0.46734619498730845
62,충청북도 보은군,0.13624 ,0.052359485,-0.586909128,0.22598764406386984,0.5486322174787075,0.6823195770716335,-0.58552821,0.18637811431159595,-1.209691817,0.006146206,0.059089794,-0.753421165,-0.430016839,-0.921528543,-0.761064659,-0.736598663,-0.768399358,0.39340697692281285,0.6362030362350867,-1.180763928,-1.392036842
63,충청북도 옥천군,0.19190 ,-0.051255419,0.18581474806062215,-0.730791213,-0.676403618,0.000169661,-0.727765316,0.18637811431159595,-0.036343426,-0.829288822,-0.828760766,-0.714729404,-0.430016839,-0.60337497,-0.650814539,-0.632750811,-0.15140874,-0.813998374,-0.805971526,-0.415698165,-0.618828054
64,충청북도 영동군,0.16707 ,-0.080037337,-0.771174053,0.14625607267337032,0.077435638,-0.04592155,-0.58552821,0.599706449,0.13536609442996045,-0.248626955,-0.198933931,-0.650243135,-0.588239739,-0.67035467,-0.678668486,-0.730198569,-0.768399358,-0.247416575,-0.194410022,-0.62210887,-0.847926954
65,충청북도 진천군,0.53436 ,0.10234913129238721,0.43249198547718126,-0.730791213,-0.676403618,-0.608234318,-0.58552821,-0.226950221,-0.608708495,-0.617323075,-0.601958462,-0.482578837,-0.746462639,0.3295565581215614,-0.427281122,-0.044159118,-0.15140874,-0.567828351,-0.621384538,0.4884704640642447,0.7434921905485367
66,충청북도 괴산군,0.12621 ,0.1396141405229523,0.1917587778778885,-0.252401784,-0.385763396,-0.589797834,-0.443291104,1.0130347845916001,0.3643121218445764,0.27369254761882006,0.20433129363527358,-0.817907433,-0.90468554,-1.100938452,-0.726888038,-0.723852713,-0.768399358,-0.036413698,-0.077332701,-1.573392986,-1.355217376
67,충청북도 음성군,0.32288 ,0.24807652511272707,0.043158032446226104,-0.651059641,-0.643660725,0.3320263768742279,-0.443291104,0.18637811431159595,1.766606539759097,-0.472157608,-0.493302415,-0.405195315,-0.588239739,-0.172791188,-0.391206477,0.28408976967431526,-0.768399358,-0.524846283,-0.573974468,-0.375313462,0.017330498517157813
69,충청북도 증평군,0.49207 ,-0.117908281,-0.827642336,-0.092938641,-0.336931322,-0.949309276,-0.727765316,-1.260271059,0.10674784100313309,0.6410077829692283,0.6321816678592556,-0.637345881,-0.746462639,0.3750070684752519,-0.725624723,-0.709280748,-0.768399358,0.4715561905458931,0.48602383479049954,0.29776492192013715,0.9132708396713666
71,충청남도 공주시,0.29230 ,-0.12548247,-0.262959503,1.023303357968865,0.7629664442807292,1.8069451145475142,-0.727765316,0.599706449,1.0797684575152504,0.7248965068321506,0.7465112101155233,-0.237531016,0.3610976617340451,-0.278045001,-0.327045973,-0.270169216,-0.15140874,1.2217886413274635,1.317999577235692,-0.014094729,-0.385638102
72,충청남도 보령시,0.25245 ,-0.140024912,-0.328343831,-0.651059641,-0.509772399,-0.608234318,-0.443291104,0.599706449,0.5360216424055375,-0.620775286,-0.633145498,-0.327811792,-0.588239739,-0.005341939,-0.360087442,-0.409488776,-0.15140874,-0.743664081,-0.705416756,0.13173892052408964,-0.502233078
74,충청남도 서산시,0.43431 ,-0.060647413,1.2676281748031246,-0.730791213,-0.676403618,-1.059928182,-0.58552821,0.599706449,0.2498391081372679,-0.665654027,-0.688986453,-0.005380449,-0.746462639,0.13818598821128517,0.1236094057220684,0.18835955052005973,0.4655818770366874,-0.798368531,-0.809378237,0.9573817382774046,0.7619019235859519
75,충청남도 논산시,0.26257 ,-0.133056659,-0.604741218,-0.651059641,-0.64478979,0.7652837560657557,-0.443291104,1.2196989521616013,1.3945692452103464,-0.625608381,-0.561143675,-0.056969464,0.6775434620708696,-0.596198574,-0.265735554,-0.303688352,-0.15140874,-0.548291047,-0.568977958,0.20353394815481274,-0.158584728
77,충청남도 당진시,0.42443 ,0.088412624,1.3240964580671557,-0.730791213,-0.676403618,-0.912436308,-0.158816891,0.8063706170215991,0.3643121218445764,-0.769220353,-0.804760158,-0.044072211,-0.271793939,0.439594636,0.073809185,0.4527340537670246,-0.15140874,-0.841350598,-0.848328306,1.1907155780772551,0.7414466646554909
79,충청남도 부여군,0.15026 ,-0.11063706,-1.038655394,-0.491596498,-0.566131575,0.10157032411277692,-0.58552821,1.6330272873016032,0.6218764026860186,-0.575206103,-0.583837659,-0.521270598,-0.430016839,-0.947841996,-0.572556178,-0.717832286,-0.768399358,-0.708496935,-0.725346019,-0.406723787,-1.183393201
80,충청남도 서천군,0.13494 ,-0.133056659,-0.637433382,-0.491596498,-0.409097411,0.2674986821010217,-0.58552821,0.599706449,1.4518057520640002,-0.581420082,-0.570633886,-0.59865412,-0.271793939,-1.431052685,-0.648104821,-0.595055342,-0.768399358,-0.513123901,-0.537863326,-0.658006383,-1.132255053
81,충청남도 청양군,0.15515 ,0.002066871,-0.708761739,-0.651059641,-0.605837038,-0.912436308,-0.727765316,0.393042282,1.909697806893232,-0.656505668,-0.675301293,-0.792112926,-0.588239739,-1.541090763,-0.768321089,-0.798375842,-0.768399358,-0.731941699,-0.717453804,-0.933968521,-1.302033702
82,충청남도 홍성군,0.32254 ,-0.125179502,0.25119907605055325,0.22598764406386984,0.004516838,-0.128885729,-0.727765316,0.599706449,-0.093579933,0.5888793990050256,0.568879206,-0.379400807,-0.430016839,0.7075134336943567,-0.354527638,-0.436463183,-0.15140874,0.6083173143862836,0.5820931008941824,0.6567400600737519,0.44484541
83,충청남도 예산군,0.19962 ,0.022971631955736264,0.19473079278652222,-0.491596498,-0.550701016,-0.940091034,-0.443291104,1.0130347845916001,-0.522853734,-0.396726801,-0.395993361,-0.456784329,-0.746462639,-0.567492988,-0.48075533,-0.469711129,-0.15140874,-0.27867626,-0.298201167,-0.002876756,-0.627010158
84,충청남도 태안군,0.16572 ,-0.060041478,-0.741453903,-0.57132807,-0.606307481,-1.032273455,-0.727765316,-0.226950221,0.335693868,-0.554320227,-0.564479003,-0.559962359,-0.746462639,-0.969371185,-0.57870797,-0.61494264,-0.768399358,-0.630347722,-0.67907152,-0.30127484,-0.800879859
86,전라북도 군산시,0.43233 ,-0.222432087,0.9050423559498677,-0.651059641,-0.61411685,0.092352082,0.2678944267218219,1.4263631197316022,0.4215486286982301,-0.662892258,-0.675163754,0.8200437883704721,0.5193205619024573,0.31759589750216904,0.6487942317310182,0.48533114255552745,0.4655818770366874,-0.700682014,-0.716375012,1.0987281989253912,0.6473524735753684
87,전라북도 익산시,0.43863 ,-0.256970389,0.3671076574872501,-0.730791213,-0.676403618,0.2029709873278155,0.2678944267218219,1.4263631197316022,1.1370049643689042,-0.8223844,-0.819408093,1.039297101528961,0.8357663622392818,-0.163222659,0.7173305646856806,0.6125736888081527,-0.15140874,-0.829628216,-0.824424547,0.6522528708468318,0.33847806372540123
88,전라북도 정읍시,0.24730 ,-0.123664665,-0.634461367,0.30571921545436936,0.3056009146562219,0.49795473486247266,-0.158816891,1.6330272873016032,0.9080589369542883,-0.341318817,-0.315979874,-0.173044748,-0.113571039,-0.409612268,-0.311727522,-0.397520238,-0.15140874,-0.087210687,-0.060526257,-0.33044157,-0.563598855
89,전라북도 남원시,0.23427 ,-0.159414836,-0.913830768,0.5449139296258679,0.3393787844639154,0.2121892294382733,-0.58552821,1.6330272873016032,1.6521335260517898,0.7112602739408524,0.6483769203111961,-0.430989822,-0.271793939,-1.397562835,-0.477319359,-0.629532684,-0.15140874,0.737263517,0.648353641,-0.036530675,-0.598372795
91,전라북도 완주군,0.35648 ,0.16233670712695528,-0.898970694,-0.730791213,-0.676403618,0.38733582953697626,-0.443291104,1.0130347845916001,1.4804240054908275,-0.851382971,-0.840176527,-0.418092568,0.044651861,-0.301966323,-0.388984997,-0.126691403,-0.768399358,-0.829628216,-0.839357299,-0.171146352,-0.377455999
93,전라북도 무주군,0.15864 ,-0.040348587,-0.940578902,-0.57132807,-0.599627178,-1.327257203,-0.727765316,-0.433614388,-0.980745789,-0.31059414,-0.321584601,-0.792112926,-0.90468554,-1.543482895,-0.809680904,-0.813797537,-0.768399358,-0.356825474,-0.355547479,-1.028199495,-1.007477974
94,전라북도 장수군,0.14745 ,-0.0448931,-1.115927782,-0.730791213,-0.676403618,-1.391784898,-0.727765316,-0.433614388,-0.608708495,-0.821176126,-0.823224809,-0.843701941,-0.90468554,-1.514777309,-0.822820595,-0.839000167,-0.768399358,-0.84916552,-0.836348037,-1.701277879,-1.209985037
95,전라북도 임실군,0.14608 ,-0.096094617,-1.068375543,-0.332133356,-0.378989004,-0.082794518,-0.58552821,0.8063706170215991,-1.438637844,0.20154134067498986,0.12827206131320912,-0.779215672,-0.746462639,-1.710932144,-0.791256043,-0.751622613,-0.768399358,-0.16145244,-0.134622234,-1.909932178,-1.66204626
97,전라북도 고창군,0.15525 ,0.005702481,-0.830614351,-0.651059641,-0.644413435,0.2859351663219377,-0.58552821,1.0130347845916001,0.13536609442996045,-0.795284545,-0.784920114,-0.650243135,-0.113571039,-0.856940975,-0.633616374,-0.699933718,-0.15140874,-0.802275992,-0.809151123,-1.012494332,-1.103617691
98,전라북도 부안군,0.16847 ,-0.118211249,-1.130787856,-0.252401784,-0.307763802,0.2029709873278155,-0.158816891,0.8063706170215991,-0.293907707,-0.279869464,-0.278259722,-0.572859613,-0.588239739,-0.706236652,-0.647311435,-0.701108877,-0.15140874,-0.145822597,-0.203267472,-1.158327982,-1.08929901
100,전라남도 여수시,0.43121 ,-0.284540436,0.1917587778778885,-0.491596498,-0.55578181,0.2859351663219377,0.2678944267218219,1.0130347845916001,-0.837654522,-0.218074889,-0.238201401,0.6652767437880094,0.993989262,0.2434398016619369,0.7238485347298105,0.9587934615756679,1.0825724945731106,-0.212249429,-0.225013647,1.0493691174292685,0.5491672307091537
102,전라남도 나주시,0.43328 ,0.020244924,-0.408588234,-0.092938641,-0.304188429,1.5580525775651468,-0.58552821,1.2196989521616013,-0.06496168,-0.402422949,-0.407787356,-0.263325524,0.2028747615656329,0.40610478608567196,-0.242306259,-0.151622843,0.4655818770366874,-0.411529923,-0.42907567,-0.296787651,0.39779831462373977
103,전라남도 광양시,0.68093 ,0.073870181,0.5484005669138781,-0.651059641,-0.636133623,-0.562143108,-0.301053997,0.18637811431159595,0.078129588,-0.69189083,-0.7004366,-0.314914539,-0.113571039,-0.160830527,-0.024357058,0.3390691080025667,0.4655818770366874,-0.696774553,-0.713876757,0.887830305,0.6064419557144458
104,전라남도 담양군,0.21492 ,0.14718832939095317,-0.399672189,0.5449139296258679,0.5700844579136772,1.8530363250998045,-0.58552821,0.8063706170215991,-0.923509282,-0.052368768,-0.020751769,-0.676037643,0.044651861,-0.789961276,-0.673566404,-0.644339682,-0.768399358,0.26055331376357643,0.2817914765310743,-0.799352844,-0.86020011
107,전라남도 고흥군,0.10905 ,-0.174866181,-0.955438977,-0.730791213,-0.676403618,0.4703000085310985,-0.301053997,1.8396914548716046,-0.06496168,-0.489936494,-0.466551022,-0.547065105,-0.746462639,-1.041135149,-0.575381852,-0.679196691,-0.15140874,-0.266953878,-0.29655459,-1.420828552,-1.138391631
110,전라남도 장흥군,0.16496 ,-0.062465218,-1.288304647,-0.172670213,-0.254321378,-0.110449244,-0.443291104,0.18637811431159595,0.650494656,-0.629751034,-0.639300381,-0.740523911,-0.746462639,-1.14399683,-0.735462708,-0.761982087,-0.15140874,-0.728034239,-0.722109643,-1.070827792,-1.019751129
111,전라남도 강진군,0.16705 ,-0.001265772,-0.572049054,-0.411864927,-0.506949736,-0.26715936,-0.58552821,0.599706449,0.9366771903811156,-0.365484293,-0.371201903,-0.779215672,-0.746462639,-1.313838211,-0.750555348,-0.791162176,-0.768399358,-0.388085159,-0.451843859,-1.420828552,-1.281578444
114,전라남도 무안군,0.49263 ,-0.08700559,1.2765442195290237,-0.491596498,-0.464233433,-0.174976939,-0.58552821,0.18637811431159595,-0.608708495,-0.788380123,-0.781516016,-0.469681583,-0.271793939,0.20755781980376048,-0.400055781,-0.565821015,-0.15140874,-0.720219317,-0.742663469,1.0493691174292685,0.47961935
117,전라남도 장성군,0.20710 ,0.18263553329319818,-0.203519205,0.22598764406386984,-0.144331602,-0.156540455,-0.443291104,0.599706449,-1.23831007,-0.016810996,0.17486349883418442,-0.753421165,-0.588239739,-0.545963799,-0.689714858,-0.600117563,-0.768399358,0.7255411348209039,0.6905400856802548,-0.316980002,-0.682239357
118,전라남도 완도군,0.16583 ,-0.151840647,-0.655265471,-0.172670213,-0.400817599,-1.281165992,-0.58552821,1.0130347845916001,0.049511334149479364,-0.065487169,-0.094988606,-0.676037643,-0.90468554,-0.770824219,-0.662550547,-0.749959311,-0.768399358,-0.192712125,-0.227511902,-1.313136011,-0.905201679
119,전라남도 진도군,0.17033 ,-0.009142929,-1.237780393,-0.411864927,-0.52811971,-0.930872792,-0.443291104,-0.226950221,-0.780418015,-0.76525031,-0.74940059,-0.779215672,-0.746462639,-0.615335631,-0.772953242,-0.823234964,-0.768399358,-0.728034239,-0.671349641,-1.111212495,-1.146573735
