,시군구,소멸지수,1인당 자동차 등록대수,고등학교,대규모W,병상 비율,병원,보건지소,보육시설 비율,소규모C,요양병원,유치원,전규모W,종합병원,중학교
27,강원특별자치도 태백시,0.24,-0.263635675,-1.035683379,-0.676403618,-0.57136135,-0.58552821,-1.260271059,0.993913697,-0.551558458,-0.90468554,-1.117683377,-0.687929022,-0.15140874,0.443598572
28,강원특별자치도 속초시,0.42,-0.330894472,1.193327802,-0.361112137,-0.617452561,-0.727765316,-1.466935226,0.364312122,-0.104324541,-0.588239739,0.712297698,-0.53705675,0.465581877,1.533985554
29,강원특별자치도 삼척시,0.29,-0.216978671,-0.18865913,-0.676403618,-0.958527519,-0.58552821,0.186378114,1.022531951,-0.753340183,-0.746462639,0.420457579,-0.573522823,-0.15140874,-0.361851894
30,강원특별자치도 홍천군,0.23,-0.000962805,0.019381913,-0.676403618,-0.617452561,-0.443291104,0.186378114,1.108386711,-0.896089102,-0.588239739,-0.746902898,-0.607512022,-0.15140874,-0.480762409
31,강원특별자치도 횡성군,0.17,0.059024771,-0.786034127,-0.509301956,-1.161328845,-0.58552821,0.186378114,0.707731163,-0.362549914,-0.746462639,-0.644041216,-0.661677789,-0.768399358,-1.162815171
32,강원특별자치도 영월군,0.18,-0.066403797,-1.196172184,-0.435630446,-0.783380918,-0.58552821,-0.020286053,-0.351144214,-0.322331657,-0.746462639,-0.68231533,-0.719857175,-0.15140874,-1.49262358
33,강원특별자치도 평창군,0.18,0.19051269,-0.881138604,-0.676403618,-1.198201813,-0.727765316,-0.226950221,-0.208052947,-0.723305948,-0.588239739,-0.926312807,-0.702446749,-0.768399358,-0.871147872
34,강원특별자치도 정선군,0.18,0.012367768,-1.371521064,-0.676403618,-1.041491698,-0.443291104,-0.020286053,0.020893081,-0.869507078,-0.90468554,-1.11050698,-0.692014958,-0.768399358,-1.133648441
35,강원특별자치도 철원군,0.32,-0.071554245,-0.863306515,-0.418882644,-0.893999824,-0.58552821,-0.640278556,-0.980745789,-0.683605523,-0.746462639,-0.278045001,-0.759667929,-0.768399358,0.154174867
36,강원특별자치도 화천군,0.34,-0.111242995,-1.520121809,-0.638768108,-1.391784898,-0.727765316,-0.640278556,1.365950992,-0.722615506,-0.90468554,-1.136820434,-0.857658068,-0.768399358,-0.765698925
37,강원특별자치도 양구군,0.36,-0.059132575,-0.313483757,-0.676403618,-0.87556334,-0.301053997,-0.640278556,-0.837654522,-0.735216076,-0.90468554,-0.024478996,-0.855795894,-0.768399358,-1.461213255
38,강원특별자치도 인제군,0.37,0.040846718,-0.384812114,-0.480793057,-1.198201813,-0.58552821,-0.433614388,-0.522853734,-0.839300233,-0.746462639,-0.579453649,-0.801196222,-0.768399358,-0.545826653
39,충청북도 충주시,0.4,-0.059435543,0.795077804,-0.676403618,-0.304032329,-0.301053997,1.219698952,-0.208052947,-0.759726773,0.202874762,0.599867488,0.452227832,0.465581877,0.591675816
40,충청북도 제천시,0.34,-0.184561143,0.527596463,-0.676403618,-0.082794518,-0.58552821,0.186378114,-0.436998974,-0.621638339,-0.113571039,0.090343346,-0.199406595,0.465581877,0.412188247
41,충청북도 보은군,0.14,0.052359485,-0.586909128,0.548632217,0.682319577,-0.58552821,0.186378114,-1.209691817,0.006146206,-0.430016839,-0.921528543,-0.736598663,-0.768399358,-1.180763928
42,충청북도 옥천군,0.19,-0.051255419,0.185814748,-0.676403618,0.000169661,-0.727765316,0.186378114,-0.036343426,-0.829288822,-0.430016839,-0.60337497,-0.632750811,-0.15140874,-0.415698165
43,충청북도 영동군,0.17,-0.080037337,-0.771174053,0.077435638,-0.04592155,-0.58552821,0.599706449,0.135366094,-0.248626955,-0.588239739,-0.67035467,-0.730198569,-0.768399358,-0.62210887
44,충청북도 진천군,0.53,0.102349131,0.432491985,-0.676403618,-0.608234318,-0.58552821,-0.226950221,-0.608708495,-0.617323075,-0.746462639,0.329556558,-0.044159118,-0.15140874,0.488470464
45,충청북도 괴산군,0.13,0.139614141,0.191758778,-0.385763396,-0.589797834,-0.443291104,1.013034785,0.364312122,0.273692548,-0.90468554,-1.100938452,-0.723852713,-0.768399358,-1.573392986
46,충청북도 음성군,0.32,0.248076525,0.043158032,-0.643660725,0.332026377,-0.443291104,0.186378114,1.76660654,-0.472157608,-0.588239739,-0.172791188,0.28408977,-0.768399358,-0.375313462
47,충청북도 증평군,0.49,-0.117908281,-0.827642336,-0.336931322,-0.949309276,-0.727765316,-1.260271059,0.106747841,0.641007783,-0.746462639,0.375007068,-0.709280748,-0.768399358,0.297764922
48,충청남도 공주시,0.29,-0.12548247,-0.262959503,0.762966444,1.806945115,-0.727765316,0.599706449,1.079768458,0.724896507,0.361097662,-0.278045001,-0.270169216,-0.15140874,-0.014094729
49,충청남도 보령시,0.25,-0.140024912,-0.328343831,-0.509772399,-0.608234318,-0.443291104,0.599706449,0.536021642,-0.620775286,-0.588239739,-0.005341939,-0.409488776,-0.15140874,0.131738921
50,충청남도 서산시,0.43,-0.060647413,1.267628175,-0.676403618,-1.059928182,-0.58552821,0.599706449,0.249839108,-0.665654027,-0.746462639,0.138185988,0.188359551,0.465581877,0.957381738
51,충청남도 논산시,0.26,-0.133056659,-0.604741218,-0.64478979,0.765283756,-0.443291104,1.219698952,1.394569245,-0.625608381,0.677543462,-0.596198574,-0.303688352,-0.15140874,0.203533948
52,충청남도 당진시,0.42,0.088412624,1.324096458,-0.676403618,-0.912436308,-0.158816891,0.806370617,0.364312122,-0.769220353,-0.271793939,0.439594636,0.452734054,-0.15140874,1.190715578
53,충청남도 부여군,0.15,-0.11063706,-1.038655394,-0.566131575,0.101570324,-0.58552821,1.633027287,0.621876403,-0.575206103,-0.430016839,-0.947841996,-0.717832286,-0.768399358,-0.406723787
54,충청남도 서천군,0.13,-0.133056659,-0.637433382,-0.409097411,0.267498682,-0.58552821,0.599706449,1.451805752,-0.581420082,-0.271793939,-1.431052685,-0.595055342,-0.768399358,-0.658006383
55,충청남도 청양군,0.16,0.002066871,-0.708761739,-0.605837038,-0.912436308,-0.727765316,0.393042282,1.909697807,-0.656505668,-0.588239739,-1.541090763,-0.798375842,-0.768399358,-0.933968521
56,충청남도 홍성군,0.32,-0.125179502,0.251199076,0.004516838,-0.128885729,-0.727765316,0.599706449,-0.093579933,0.588879399,-0.430016839,0.707513434,-0.436463183,-0.15140874,0.65674006
57,충청남도 예산군,0.2,0.022971632,0.194730793,-0.550701016,-0.940091034,-0.443291104,1.013034785,-0.522853734,-0.396726801,-0.746462639,-0.567492988,-0.469711129,-0.15140874,-0.002876756
58,충청남도 태안군,0.17,-0.060041478,-0.741453903,-0.606307481,-1.032273455,-0.727765316,-0.226950221,0.335693868,-0.554320227,-0.746462639,-0.969371185,-0.61494264,-0.768399358,-0.30127484
59,전라북도 군산시,0.43,-0.222432087,0.905042356,-0.61411685,0.092352082,0.267894427,1.42636312,0.421548629,-0.662892258,0.519320562,0.317595898,0.485331143,0.465581877,1.098728199
60,전라북도 익산시,0.44,-0.256970389,0.367107657,-0.676403618,0.202970987,0.267894427,1.42636312,1.137004964,-0.8223844,0.835766362,-0.163222659,0.612573689,-0.15140874,0.652252871
61,전라북도 정읍시,0.25,-0.123664665,-0.634461367,0.305600915,0.497954735,-0.158816891,1.633027287,0.908058937,-0.341318817,-0.113571039,-0.409612268,-0.397520238,-0.15140874,-0.33044157
62,전라북도 남원시,0.23,-0.159414836,-0.913830768,0.339378784,0.212189229,-0.58552821,1.633027287,1.652133526,0.711260274,-0.271793939,-1.397562835,-0.629532684,-0.15140874,-0.036530675
63,전라북도 완주군,0.36,0.162336707,-0.898970694,-0.676403618,0.38733583,-0.443291104,1.013034785,1.480424005,-0.851382971,0.044651861,-0.301966323,-0.126691403,-0.768399358,-0.171146352
64,전라북도 무주군,0.16,-0.040348587,-0.940578902,-0.599627178,-1.327257203,-0.727765316,-0.433614388,-0.980745789,-0.31059414,-0.90468554,-1.543482895,-0.813797537,-0.768399358,-1.028199495
65,전라북도 장수군,0.15,-0.0448931,-1.115927782,-0.676403618,-1.391784898,-0.727765316,-0.433614388,-0.608708495,-0.821176126,-0.90468554,-1.514777309,-0.839000167,-0.768399358,-1.701277879
66,전라북도 임실군,0.15,-0.096094617,-1.068375543,-0.378989004,-0.082794518,-0.58552821,0.806370617,-1.438637844,0.201541341,-0.746462639,-1.710932144,-0.751622613,-0.768399358,-1.909932178
67,전라북도 고창군,0.16,0.005702481,-0.830614351,-0.644413435,0.285935166,-0.58552821,1.013034785,0.135366094,-0.795284545,-0.113571039,-0.856940975,-0.699933718,-0.15140874,-1.012494332
68,전라북도 부안군,0.17,-0.118211249,-1.130787856,-0.307763802,0.202970987,-0.158816891,0.806370617,-0.293907707,-0.279869464,-0.588239739,-0.706236652,-0.701108877,-0.15140874,-1.158327982
69,전라남도 여수시,0.43,-0.284540436,0.191758778,-0.55578181,0.285935166,0.267894427,1.013034785,-0.837654522,-0.218074889,0.993989262,0.243439802,0.958793462,1.082572495,1.049369117
70,전라남도 나주시,0.43,0.020244924,-0.408588234,-0.304188429,1.558052578,-0.58552821,1.219698952,-0.06496168,-0.402422949,0.202874762,0.406104786,-0.151622843,0.465581877,-0.296787651
71,전라남도 광양시,0.68,0.073870181,0.548400567,-0.636133623,-0.562143108,-0.301053997,0.186378114,0.078129588,-0.69189083,-0.113571039,-0.160830527,0.339069108,0.465581877,0.887830305
72,전라남도 담양군,0.21,0.147188329,-0.399672189,0.570084458,1.853036325,-0.58552821,0.806370617,-0.923509282,-0.052368768,0.044651861,-0.789961276,-0.644339682,-0.768399358,-0.799352844
73,전라남도 고흥군,0.11,-0.174866181,-0.955438977,-0.676403618,0.470300009,-0.301053997,1.839691455,-0.06496168,-0.489936494,-0.746462639,-1.041135149,-0.679196691,-0.15140874,-1.420828552
74,전라남도 장흥군,0.16,-0.062465218,-1.288304647,-0.254321378,-0.110449244,-0.443291104,0.186378114,0.650494656,-0.629751034,-0.746462639,-1.14399683,-0.761982087,-0.15140874,-1.070827792
75,전라남도 강진군,0.17,-0.001265772,-0.572049054,-0.506949736,-0.26715936,-0.58552821,0.599706449,0.93667719,-0.365484293,-0.746462639,-1.313838211,-0.791162176,-0.768399358,-1.420828552
76,전라남도 무안군,0.49,-0.08700559,1.27654422,-0.464233433,-0.174976939,-0.58552821,0.186378114,-0.608708495,-0.788380123,-0.271793939,0.20755782,-0.565821015,-0.15140874,1.049369117
77,전라남도 장성군,0.21,0.182635533,-0.203519205,-0.144331602,-0.156540455,-0.443291104,0.599706449,-1.23831007,-0.016810996,-0.588239739,-0.545963799,-0.600117563,-0.768399358,-0.316980002
78,전라남도 완도군,0.17,-0.151840647,-0.655265471,-0.400817599,-1.281165992,-0.58552821,1.013034785,0.049511334,-0.065487169,-0.90468554,-0.770824219,-0.749959311,-0.768399358,-1.313136011
