,병원,보건지소,약국,요양병원,종합병원,병상 비율,1인당 자동차 등록대수,소규모C,중규모C,대규모C,소규모W,중규모W,대규모W,전규모W,보육시설 비율,유치원,초등학교,중학교,고등학교,소멸지수
0,0.0,-1.0,0.022099447513812154,0.0,0.0,2.6779661016949152,5.425023605194993,0.47628726287262874,0.3713355048859935,0.0,0.39909911435490153,0.4514693342761475,-0.0297536673124827,0.38243775833894067,1.302325581395348,0.24463519313304727,0.3853018372703415,0.14964216005204928,-0.41870350690754476,0.2816901408450704
1,0.0,-1.0,0.574585635359116,0.25,0.5,2.9661016949152543,-3.335382084415437,0.0,-0.04234527687296417,0.42857142857142855,-0.06766802702656935,-0.07212528336418277,0.9615278162192085,0.07472203531032715,-1.1162790697674418,0.5608011444921317,0.25826771653543323,0.4450227716330512,-0.2316684378320934,0.1971830985915493
2,0.6,-1.0,0.26519337016574585,0.125,1.0,1.5593220338983054,-0.05829891901563748,0.31639566395663954,0.7003257328990228,0.5714285714285714,0.29685198042436456,0.7108957427781128,0.3657625242181013,0.47978147329296034,-0.5581395348837209,0.6366237482117307,0.26771653543307106,0.12231620039037058,-0.35919234856535615,0.1971830985915493
3,0.0,-1.0,0.15469613259668508,0.125,0.5,0.21186440677966104,-3.1844891554054495,0.06216124661246612,-0.0781758957654723,0.14285714285714285,0.03044722537381674,-0.018592849863777218,0.26958206476612234,0.061648883334935435,0.3953488372093021,0.12732474964234625,0.02309711286089265,0.09108653220559523,-0.41870350690754476,-0.1408450704225352
4,3.0,-1.0,1.867403314917127,1.25,1.0,0.5084745762711865,-1.9032241192045827,1.7466124661246611,1.5667752442996743,2.0,1.6638274092764127,1.5182912879811992,1.4889288679767507,1.56743247140248,-1.0,0.7010014306151646,0.40104986876640436,0.3825634352635001,-0.23804463336875675,0.8732394366197184
5,3.2,-1.0,1.1933701657458564,1.375,1.0,0.7966101694915256,-2.5684758634287257,0.7923441734417345,0.5472312703583062,0.7142857142857143,0.716034748446311,0.581619283322588,0.582064766122336,0.6533211573584543,-1.3488372093023255,0.7539341917024318,0.6036745406824149,0.7404033832140532,0.7608926673751322,0.5633802816901409
6,0.8,-1.0,0.8839779005524862,0.5,0.0,-0.16101694915254228,-2.2664948274329153,0.5120257452574526,0.36156351791530944,1.5714285714285714,0.5137080249944964,0.3731880290331302,1.3180182673678384,0.5625300394117082,0.0,0.782546494992847,0.4818897637795277,0.5647364996746911,-0.2019128586609987,0.45070422535211263
7,1.4,-0.875,0.7292817679558011,1.125,0.5,0.04237288135593221,-2.4018046392968952,0.34942411924119243,0.16286644951140064,-0.14285714285714285,0.2882834064315107,0.20909677016825073,-0.15693329642955992,0.22193918420968312,-0.30232558139534893,0.4148783977110159,0.38215223097112877,0.38386467143786596,-0.0021253985122213727,0.5352112676056339
8,2.2,-0.75,1.4475138121546962,1.25,0.5,0.0,-1.393714100097717,1.7772696476964769,1.1954397394136809,0.8571428571428571,1.7395559920749157,1.2012561612212216,0.6120952117353999,1.3796340799128457,-0.5348837209302326,0.8526466380543632,0.4829396325459321,0.5725439167208848,0.34856535600425076,0.5633802816901409
9,3.6,-1.0,0.9834254143646409,2.125,-0.5,0.7457627118644069,-2.4388901615628207,0.8609417344173442,0.9837133550488599,0.5714285714285714,0.8992938546729209,0.8999022523553023,0.7711043454193192,0.8844884488448845,-0.11627906976744184,0.5078683834048641,0.4073490813648298,0.41639557579700714,0.22529224229543005,0.3943661971830986
10,1.8,-1.0,0.7071823204419889,1.625,-0.5,0.7627118644067797,-2.3088725663179854,0.6568428184281843,0.6742671009771987,0.7142857142857143,0.6373596599664708,0.7297381610964374,0.9386936064212565,0.7144413470473261,-0.4651162790697674,0.5937052932761089,0.398950131233596,0.42420299284320084,0.10839532412327264,0.3380281690140845
11,1.0,-0.5,0.011049723756906077,-0.5,-0.5,-0.9661016949152542,0.5483047018719254,1.6366869918699187,1.3224755700325732,1.0,1.6868237007434,1.136451552523761,1.552726266260725,1.4386234739978851,-0.7674418604651163,0.5593705293276108,0.5574803149606303,0.4059856864020817,1.047821466524973,1.4647887323943662
12,2.0,-1.0,0.6961325966850829,1.0,0.0,0.7203389830508475,0.39937910138984356,0.690379403794038,0.5700325732899023,0.42857142857142855,0.6204257192691311,0.48590978100368115,0.4146138942706892,0.5518440193533917,-0.9069767441860465,0.6008583690987122,0.5312335958005253,0.40728692257644755,0.8735387885228476,0.591549295774648
13,1.0,-1.0,0.574585635359116,0.75,0.5,0.5677966101694916,1.4641839646240928,0.37516937669376693,0.13355048859934854,-0.14285714285714285,0.27480398963642827,0.21521119730466068,-0.12330473290893994,0.2218110160530616,-1.0232558139534882,0.5507868383404865,0.43149606299212645,0.38516590761223135,0.2189160467587674,0.6760563380281692
14,1.0,-1.0,0.4419889502762431,1.25,0.5,1.3559322033898307,-1.7896824093671861,1.608570460704607,0.6254071661237784,0.7142857142857143,1.5825106260477875,0.5038371149886655,0.46734016053141436,1.0199621903937968,0.2325581395348837,0.5250357653791131,0.1774278215223099,0.2732595966167857,-0.09989373007438866,0.5070422535211268
15,0.6,-0.5,0.23204419889502761,0.125,0.0,-0.4491525423728813,-1.0756181673460286,0.5130420054200542,0.4527687296416938,0.14285714285714285,0.5395492184986368,0.4079196389576358,0.11043454193191254,0.44833221186196287,0.04651162790697657,0.28183118741058655,0.5648293963254598,0.5972674040338323,1.6004250797024437,0.7042253521126759
16,1.8,-1.0,1.1933701657458564,-0.25,0.5,2.279661016949153,1.2339128601359526,0.7637195121951219,0.4169381107491857,0.14285714285714285,0.6695002794100215,0.43595449535178754,0.3625795737614171,0.5497933288474478,-1.3488372093023255,0.9628040057224605,0.4829396325459321,0.2537410540013012,0.5419766206163655,1.2112676056338028
17,1.0,-1.0,1.5027624309392265,0.5,0.5,-0.27966101694915246,-1.010075509150597,1.1446476964769647,0.8143322475570033,1.0,1.054341015697763,0.8470353347336896,0.8623027954608359,0.9480278124899869,-0.30232558139534893,0.4935622317596564,0.45354330708661433,0.21860767729342875,0.42295430393198674,0.4788732394366197
18,1.0,-1.0,0.6961325966850829,1.0,0.0,0.8983050847457629,-1.4939870979115955,0.5857046070460704,0.41368078175895767,0.2857142857142857,0.5651872047144091,0.29939895597196514,0.28563520619983396,0.4389438943894389,0.9534883720930226,0.16738197424892723,0.07559055118110264,-0.1040988939492519,0.4867162592986181,0.11267605633802812
19,0.6,-1.0,0.6961325966850829,0.625,0.5,1.593220338983051,-2.1079106001865955,0.130420054200542,0.0,0.5714285714285714,0.07081773999627454,0.014724538818293368,1.1379739828397453,0.19411067320324266,-0.6046511627906979,1.2217453505007148,0.20997375328083998,0.11581001951854271,0.4952178533475021,0.42253521126760557
